GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,n_pixels,n_non_na_pixels,prop_non_na_pixels,ntl_mean,date
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17655,0.992690469496767,0.314555317163467,2017-05-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26340,0.999734315102289,0.170131266117096,2017-05-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10480,0.998761078814448,0.266517102718353,2017-05-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.0724546760320664,2017-05-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11926,0.994330498582625,0.101525343954563,2017-05-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22061,0.997332730560579,0.094847671687603,2017-05-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17678,0.993983694124262,0.268622785806656,2017-06-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,25930,0.984172771093483,0.109977558255196,2017-06-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10428,0.993805394072239,0.237914845347405,2017-06-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23388,0.998591008069681,0.0692806020379067,2017-06-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11880,0.990495247623812,0.089144766330719,2017-06-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,20941,0.946699819168174,0.0291681587696075,2017-06-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17694,0.994883328647737,0.323084384202957,2017-07-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.132948741316795,2017-07-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10468,0.997617459258553,0.221462711691856,2017-07-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.0736413225531578,2017-07-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11903,0.992412873103218,0.171863347291946,2017-07-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,22036,0.99620253164557,0.0862589031457901,2017-07-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17751,0.998088276637616,0.330031543970108,2017-08-01
BLZ.2_1,BLZ,Belize,Cayo,,,District,District,,BZ.CY,BZ-CY,26347,26347,1,0.137047678232193,2017-08-01
BLZ.3_1,BLZ,Belize,Corozal,,,District,District,,BZ.CZ,BZ-CZL,10493,10475,0.998284570666158,0.256899505853653,2017-08-01
BLZ.4_1,BLZ,Belize,Orange Walk,,,District,District,,BZ.OW,BZ-OW,23421,23421,1,0.0714754685759544,2017-08-01
BLZ.5_1,BLZ,Belize,Stann Creek,,,District,District,,BZ.SC,BZ-SC,11994,11943,0.995747873936969,0.101530484855175,2017-08-01
BLZ.6_1,BLZ,Belize,Toledo,,,District,District,,BZ.TO,BZ-TOL,22120,21287,0.962341772151899,0.0264129210263491,2017-08-01
BLZ.1_1,BLZ,Belize,Belize,,,District,District,,BZ.BZ,BZ-BZ,17785,17741,0.997526005060444,0.276686578989029,2017-09-01
